election_id,section_number,section_label,polling_place,polling_place_address,source_doc_id,notes
comunali_lamezia_2025,1,SEZIONE 1,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,2,SEZIONE 2,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,3,SEZIONE 3,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,4,SEZIONE 4,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,5,SEZIONE 5,"EDIFICIO SCOLASTICO ""MAGGIORE PE CORSO NICOTERA GIOVANNI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,6,SEZIONE 6,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA PO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,7,SEZIONE 7,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA PO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,8,SEZIONE 8,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA PO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,9,SEZIONE 9,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA ADIGE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,10,SEZIONE 10,"EDIFICIO SCOLASTICO ""MAGGIORE PE VIA ADIGE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,11,SEZIONE 11,"SCUOLA MEDIA STATALE ""PITAGORA"" VIALE I MAGGIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,12,SEZIONE 12,"SCUOLA MEDIA STATALE ""PITAGORA"" VIALE I MAGGIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,13,SEZIONE 13,"LICEO CLASSICO ""FIORENTINO"" VIA DA VINCI LEONARDO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,14,SEZIONE 14,"LICEO CLASSICO ""FIORENTINO"" VIA DA VINCI LEONARDO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,15,SEZIONE 15,"ITG - POLO TECN. PTIAA VIA MICELI SALVATORE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,16,SEZIONE 16,"ITG - POLO TECN. PTIAA VIA MICELI SALVATORE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,17,SEZIONE 17,"SCUOLA MEDIA STATALE ""A. MANZONI VIA FERLAINO FRANCESCO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,18,SEZIONE 18,"SCUOLA MEDIA STATALE ""A. MANZONI VIA FERLAINO FRANCESCO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,19,SEZIONE 19,"SCUOLA MEDIA STATALE ""A. MANZONI VIA FERLAINO FRANCESCO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,20,SEZIONE 20,"SCUOLA MEDIA STATALE ""A. MANZONI VIA FERLAINO FRANCESCO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,21,SEZIONE 21,"EDIFICIO SCOLASTICO ""FRAZ. BELLA VIA CALABRIA TRAVERSA I,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,22,SEZIONE 22,"EDIFICIO SCOLASTICO ""FRAZ. BELLA VIA CALABRIA TRAVERSA I,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,23,SEZIONE 23,"EDIFICIO SCOLASTICO ""FRAZ. BELLA VIA CALABRIA TRAVERSA I,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,24,SEZIONE 24,"EDIFICIO SCOLASTICO ""FRAZ. BELLA VIA CALABRIA TRAVERSA I,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,25,SEZIONE 25,"ED. SCOL. ""DON MILANI"" - S. TEOD VIA MAGGIORDOMO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,26,SEZIONE 26,"ED. SCOL. ""DON MILANI"" - S. TEOD VIA MAGGIORDOMO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,27,SEZIONE 27,"ED. SCOL. ""DON MILANI"" - S. TEOD VIA MAGGIORDOMO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,28,SEZIONE 28,"ED. SCOL. ""DON MILANI"" - S. TEOD VIA MAGGIORDOMO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,29,SEZIONE 29,"ED. SCOL. -FRAZ. ZANGARONA VIA CASE POPOLARI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,30,SEZIONE 30,"ED. SCOL. - FRAZIONE FRONTI VIA GRANDINETTI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,31,SEZIONE 31,"SCUOLA INFANZIA ""ADAMELLO"" VIA TALETE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,32,SEZIONE 32,"ED. SCOL. BORRELLO-FIORENTINO""-L PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,33,SEZIONE 33,"ED. SCOL. BORRELLO-FIORENTINO""-C PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,34,SEZIONE 34,"ED. SCOL. BORRELLO-FIORENTINO""-C PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,35,SEZIONE 35,"ED. SCOL. BORRELLO-FIORENTINO""-C PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,36,SEZIONE 36,"ED. SCOL. BORRELLO-FIORENTINO""-C PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,37,SEZIONE 37,"ED. SCOL. BORRELLO-FIORENTINO""-C PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,38,SEZIONE 38,"SC. MED.STAT.""FIORENTINO"" VIA MATARAZZO FRANCESCO, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,39,SEZIONE 39,"SC. MED.STAT. ""FIORENTINO"" VIA MATARAZZO FRANCESCO, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,40,SEZIONE 40,"SC. MED.STAT. ""FIORENTINO"" VIA MATARAZZO FRANCESCO, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,41,SEZIONE 41,"SC. MED.STAT. ""FIORENTINO"" VIA MATARAZZO FRANCESCO, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,42,SEZIONE 42,"SCUOLA MEDIA STATALE ""G. NICOTER VIA GRAMSCI ANTONIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,43,SEZIONE 43,"SCUOLA MEDIA STATALE ""G. NICOTER VIA GRAMSCI ANTONIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,44,SEZIONE 44,"ED. SCOL. BORRELLO-FIORENTINO""-C PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,45,SEZIONE 45,"SC. MED. STAT. ""FIORENTINO"" VIA MATARAZZO FRANCESCO, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,46,SEZIONE 46,"SC. MED. STAT. ""FIORENTINO"" VIA MATARAZZO FRANCESCO, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,47,SEZIONE 47,"ED. SCOL. BORRELLO-FIORENTINO""-L PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,48,SEZIONE 48,"ED. SCOL. BORRELLO-FIORENTINO""-L PIAZZA 5 DICEMBRE DEI CICLISTI LAMETINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,49,SEZIONE 49,"EDIFICIO SCOLASTICO ""ACQUAFREDDA CONTRADA ACQUAFREDDA,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,50,SEZIONE 50,"EDIFICIO SCOLASTICO ""CARONTE"" CONTRADA CARONTE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,51,SEZIONE 51,"EDIFICIO SCOLASTICO ""CARONTE"" CONTRADA CARONTE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,52,SEZIONE 52,"ED. SCOL. ?VIALE DELLE NAZIONI"" VIA DELLE NAZIONI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,53,SEZIONE 53,"ED. SCOL. ?VIALE DELLE NAZIONI"" VIA DELLE NAZIONI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,54,SEZIONE 54,"ED. SCOL. ?VIALE DELLE NAZIONI"" VIA DELLE NAZIONI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,55,SEZIONE 55,"EDIF. SCOL. ?SANT'EUFEMIA"" VIA DELLE NAZIONI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,56,SEZIONE 56,"ED. SCOL. ?S. PIETRO LAMETINO"" VIA MONTEGRAPPA,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,57,SEZIONE 57,"ED. SCOL. ?VIALE DELLE NAZIONI"" VIA DELLE NAZIONI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,58,SEZIONE 58,"ITG - POLO TECN. PTIAA VIA MICELI SALVATORE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,59,SEZIONE 59,"ITG - POLO TECN. PTIAA VIA MICELI SALVATORE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,60,SEZIONE 60,"ITG - POLO TECN. PTIAA VIA MICELI SALVATORE,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,61,SEZIONE 61,"SCUOLA ELEMENTARE ""MANCUSO"" EX B VIA JEAN HENRY DUNANT, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,62,SEZIONE 62,"SCUOLA ELEMENTARE ""BARBUTO"" VIA JEAN HENRY DUNANT, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,63,SEZIONE 63,"SCUOLA MEDIA STATALE ""PITAGORA"" VIALE I MAGGIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,64,SEZIONE 64,"SCUOLA MEDIA STATALE ""PITAGORA"" VIALE I MAGGIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,65,SEZIONE 65,"SCUOLA MEDIA STATALE ""PITAGORA"" VIALE I MAGGIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,66,SEZIONE 66,"IMMOBILE COMUNALE VIA GUIDO DORS VIA DORSO GUIDO, 41",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,67,SEZIONE 67,"IMMOBILE COMUNALE VIA GUIDO DORS VIA DORSO GUIDO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,68,SEZIONE 68,"SCUOLA ELEMENTARE ""SCINA' "" VIA ROBERTO IL GUISCARDO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,69,SEZIONE 69,"SCUOLA ELEMENTARE ""SCINA' "" VIA ROBERTO IL GUISCARDO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,70,SEZIONE 70,"SCUOLA ELEMENTARE ""SCINA' "" VIA ROBERTO IL GUISCARDO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,71,SEZIONE 71,"EDIFICIO SCOLASTICO ""MANZI"" VIA FODERARO SALVATORE, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,72,SEZIONE 72,"EDIFICIO SCOLASTICO ""MANZI"" VIA FODERARO SALVATORE, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,73,SEZIONE 73,"EDIFICIO SCOLASTICO ""MANZI"" VIA FODERARO SALVATORE, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,74,SEZIONE 74,"EDIFICIO SCOLASTICO ""MANZI"" VIA FODERARO SALVATORE, SNC",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,75,SEZIONE 75,"SCUOLA MEDIA STATALE ""G. NICOTER VIA GRAMSCI ANTONIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,76,SEZIONE 76,"SCUOLA MEDIA STATALE ""G. NICOTER VIA GRAMSCI ANTONIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,77,SEZIONE 77,"SCUOLA MEDIA STATALE ""G. NICOTER VIA GRAMSCI ANTONIO,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
comunali_lamezia_2025,78,SEZIONE 78,"OSPEDALE CIVILE ""GIOVANNI PAOLO VIA SENATORE ARTURO PERUGINI,",,maggioli_2025_sections_mayor_xml,polling_place copied from Maggioli UBICAZIONE attribute; verify against municipal stradario
