section_number,v1_points_used,v2_deterministic_points_used,v2_spatially_resolved_points_used,v2_total_points_used,polygon_count_v1,polygon_count_v2,area_sq_km_v1,area_sq_km_v2,perimeter_km_v1,perimeter_km_v2,compactness_score_v1,compactness_score_v2,remaining_review_points_within_50m,remaining_review_points_within_100m,geometry_confidence,needs_manual_review,notes
1,82,82,0,82,13,13,0.182057,0.177931,5.419616,5.406649,0.07789,0.07649,179,179,low,true,fragmented dissolved geometry
2,170,170,0,170,6,6,0.035076,0.035076,2.220533,2.220533,0.089393,0.089393,30,30,medium,true,multi-part dissolved geometry
3,175,175,0,175,24,24,0.101186,0.101146,5.833595,5.831948,0.037364,0.037371,172,173,low,true,fragmented dissolved geometry
4,182,182,0,182,27,27,0.120725,0.120725,7.908875,7.908875,0.024254,0.024254,254,254,low,true,fragmented dissolved geometry
5,37,37,0,37,8,8,0.004354,0.004354,0.740627,0.740627,0.099747,0.099747,28,28,medium,true,multi-part dissolved geometry
6,302,302,2,304,29,29,0.299814,0.299821,9.148072,9.148125,0.04502,0.04502,197,199,low,true,fragmented dissolved geometry
7,19,19,0,19,1,1,0.08749,0.085436,1.153677,1.145524,0.826038,0.818168,4,6,medium,true,limited supporting civic points
8,277,277,82,359,25,24,14.706868,14.887927,50.348352,49.522593,0.072905,0.076285,232,244,low,true,fragmented dissolved geometry
9,208,208,0,208,23,23,0.330548,0.330548,7.279657,7.279657,0.078383,0.078383,77,77,low,true,fragmented dissolved geometry
10,145,145,12,157,20,20,1.064495,1.064495,12.861856,12.861856,0.080862,0.080862,121,127,low,true,fragmented dissolved geometry
11,90,90,0,90,11,11,0.089748,0.089748,3.664601,3.664601,0.083981,0.083981,40,40,low,true,fragmented dissolved geometry
12,110,110,0,110,5,5,0.038156,0.036918,1.556206,1.554593,0.197988,0.191962,7,7,medium,true,multi-part dissolved geometry
13,274,274,0,274,36,36,1.132287,1.130884,21.923239,21.914094,0.029604,0.029592,214,231,low,true,fragmented dissolved geometry
14,175,175,0,175,14,14,0.130564,0.125932,5.92156,5.864877,0.046791,0.046007,136,137,low,true,fragmented dissolved geometry
15,77,77,0,77,10,10,0.051888,0.051888,2.490177,2.490177,0.105152,0.105152,59,59,low,true,fragmented dissolved geometry
16,142,142,0,142,6,6,0.159026,0.15791,3.807153,3.795536,0.137872,0.137744,19,19,medium,true,multi-part dissolved geometry
17,44,44,0,44,10,10,0.165615,0.165615,4.674472,4.674472,0.095245,0.095245,32,35,low,true,fragmented dissolved geometry
18,143,143,7,150,28,28,1.668316,1.668582,19.413951,19.411937,0.055624,0.055644,92,108,low,true,fragmented dissolved geometry
19,139,139,0,139,30,30,0.390638,0.390638,11.658093,11.658093,0.036118,0.036118,112,114,low,true,fragmented dissolved geometry
20,106,106,22,128,20,20,1.976866,1.979289,19.620716,19.623711,0.064529,0.064589,102,137,low,true,fragmented dissolved geometry
21,124,124,0,124,21,21,0.093408,0.093408,5.61507,5.61507,0.037229,0.037229,74,75,low,true,fragmented dissolved geometry
22,478,478,0,478,54,54,1.114327,1.105861,22.918838,22.715625,0.026659,0.026932,300,304,low,true,fragmented dissolved geometry
23,236,236,0,236,24,24,0.138713,0.138713,5.298399,5.298399,0.062092,0.062092,59,59,low,true,fragmented dissolved geometry
24,95,95,0,95,20,20,8.227057,6.707897,48.315012,39.946284,0.044288,0.052825,36,48,low,true,fragmented dissolved geometry
25,53,53,0,53,4,4,0.246233,0.246233,3.761322,3.761322,0.218713,0.218713,38,40,medium,true,multi-part dissolved geometry
26,49,49,0,49,9,9,0.09639,0.09639,3.459323,3.459323,0.101218,0.101218,60,60,low,true,fragmented dissolved geometry
27,90,90,0,90,10,10,0.01877,0.01877,1.723261,1.723261,0.079428,0.079428,51,51,low,true,fragmented dissolved geometry
28,257,257,3,260,37,37,1.890056,1.936628,24.055058,24.255245,0.041046,0.041366,255,265,low,true,fragmented dissolved geometry
29,151,151,11,162,7,7,3.472593,3.556157,27.248955,26.785913,0.058771,0.062284,60,90,medium,true,multi-part dissolved geometry
30,232,232,1,233,13,13,4.211581,4.211581,27.066198,27.066195,0.072244,0.072244,151,195,low,true,fragmented dissolved geometry
31,174,174,0,174,25,25,0.405892,0.405892,10.771205,10.771205,0.043963,0.043963,56,61,low,true,fragmented dissolved geometry
32,168,168,0,168,40,40,1.576981,1.521158,20.456545,20.34498,0.047356,0.046182,109,113,low,true,fragmented dissolved geometry
33,169,169,0,169,22,22,0.353801,0.353801,5.830332,5.830332,0.130792,0.130792,100,101,low,true,fragmented dissolved geometry
34,175,175,0,175,34,34,1.319374,1.28779,20.289175,20.091624,0.040276,0.040089,83,84,low,true,fragmented dissolved geometry
35,141,141,0,141,22,22,0.144422,0.144422,6.995737,6.995737,0.037083,0.037083,100,101,low,true,fragmented dissolved geometry
36,695,695,4,699,65,65,5.521691,5.54015,49.774204,49.857245,0.028007,0.028008,346,350,low,true,fragmented dissolved geometry
37,325,325,4,329,42,42,1.278306,1.278306,21.520844,21.520844,0.034684,0.034684,173,176,low,true,fragmented dissolved geometry
38,147,147,1,148,23,25,4.141855,6.160764,28.074586,38.51873,0.066036,0.05218,174,175,low,true,fragmented dissolved geometry
39,356,356,2,358,20,20,0.711423,0.732774,13.085132,13.226739,0.052213,0.052635,172,181,low,true,fragmented dissolved geometry
40,365,365,0,365,72,72,1.035468,1.035348,28.364256,28.363558,0.016173,0.016172,253,262,low,true,fragmented dissolved geometry
41,452,452,11,463,24,24,0.299054,0.29907,12.384139,12.383494,0.024503,0.024507,314,318,low,true,fragmented dissolved geometry
42,242,242,0,242,29,29,0.157481,0.157481,8.539172,8.539172,0.02714,0.02714,98,100,low,true,fragmented dissolved geometry
43,460,460,0,460,48,48,0.337147,0.337147,15.568362,15.568362,0.01748,0.01748,114,115,low,true,fragmented dissolved geometry
44,59,59,3,62,7,7,6.198136,5.966935,28.728502,27.951838,0.094372,0.095971,32,38,medium,true,multi-part dissolved geometry
45,8,8,0,8,1,1,0.396146,0.396146,3.290013,3.290013,0.459907,0.459907,0,0,medium,true,limited supporting civic points
46,90,90,1,91,2,2,3.762986,3.756415,18.88948,18.896422,0.132526,0.132198,1,1,high,false,
47,37,37,0,37,8,8,0.007001,0.007001,0.968834,0.968834,0.093728,0.093728,38,38,medium,true,multi-part dissolved geometry
48,37,37,14,51,2,2,2.331919,4.079591,13.795134,17.984911,0.153983,0.158493,10,14,high,false,
49,34,34,0,34,4,5,4.606979,3.142885,20.106333,16.783858,0.143206,0.140202,1,6,medium,true,multi-part dissolved geometry
50,131,131,19,150,15,15,7.216967,7.788152,25.879958,26.042002,0.135406,0.14431,56,58,low,true,fragmented dissolved geometry
51,44,44,0,44,9,9,1.009281,0.775194,6.054997,5.390919,0.345935,0.335193,52,52,low,true,fragmented dissolved geometry
52,149,149,0,149,32,32,0.444362,0.438496,16.228394,16.02831,0.021203,0.021449,60,60,low,true,fragmented dissolved geometry
53,69,69,1,70,12,12,1.935778,1.935778,19.093738,19.093738,0.066724,0.066724,27,34,low,true,fragmented dissolved geometry
54,107,107,25,132,9,9,2.389297,2.3652,14.733263,14.716277,0.138319,0.13724,2,4,low,true,fragmented dissolved geometry
55,232,232,7,239,18,17,11.930582,11.415461,49.235954,48.067374,0.061845,0.062087,61,150,low,true,fragmented dissolved geometry
56,9,9,0,9,3,3,1.078085,1.078085,9.830162,9.830162,0.140198,0.140198,1,1,medium,true,limited supporting civic points
57,94,94,34,128,11,11,5.080424,5.109748,30.064245,30.143897,0.070633,0.070666,70,73,low,true,fragmented dissolved geometry
58,53,53,0,53,9,9,0.042019,0.042019,1.882292,1.882292,0.149033,0.149033,18,19,low,true,fragmented dissolved geometry
59,152,152,13,165,18,18,0.591344,0.589975,10.236186,10.122627,0.070921,0.072353,83,83,low,true,fragmented dissolved geometry
60,267,267,4,271,41,41,1.53936,1.539581,26.504935,26.510817,0.027536,0.027527,94,95,low,true,fragmented dissolved geometry
61,165,165,4,169,18,18,1.007233,1.007233,15.929367,15.929367,0.049882,0.049882,29,31,low,true,fragmented dissolved geometry
62,263,263,7,270,45,45,8.718471,8.714496,53.306005,53.237503,0.038557,0.038638,70,72,low,true,fragmented dissolved geometry
63,507,507,0,507,51,51,0.576652,0.57647,21.443028,21.441572,0.01576,0.015757,117,118,low,true,fragmented dissolved geometry
64,253,253,0,253,47,47,0.517893,0.517893,17.034094,17.034094,0.022429,0.022429,31,32,low,true,fragmented dissolved geometry
65,310,310,16,326,28,28,6.921659,6.88317,48.626348,48.407037,0.036786,0.036913,39,46,low,true,fragmented dissolved geometry
66,231,231,6,237,24,24,4.251613,3.775448,29.827287,28.946965,0.060053,0.05662,116,137,low,true,fragmented dissolved geometry
67,259,259,11,270,30,30,1.571018,1.572105,20.310144,20.274615,0.047859,0.04806,106,114,low,true,fragmented dissolved geometry
68,245,245,1,246,38,38,1.130311,1.081667,16.820352,16.661876,0.050204,0.048962,115,117,low,true,fragmented dissolved geometry
69,409,409,16,425,51,51,0.920573,0.92117,19.603637,19.602024,0.030102,0.030126,233,237,low,true,fragmented dissolved geometry
70,335,335,6,341,31,31,11.075391,11.073029,45.333325,45.308774,0.067723,0.067782,93,97,low,true,fragmented dissolved geometry
71,360,360,0,360,38,38,2.856173,2.827662,35.277817,35.354586,0.02884,0.028428,84,85,low,true,fragmented dissolved geometry
72,147,147,0,147,29,29,2.151651,2.1511,22.806297,22.777622,0.051984,0.052102,18,36,low,true,fragmented dissolved geometry
73,292,292,48,340,32,32,0.484063,0.48501,12.100245,12.044313,0.041545,0.042014,58,59,low,true,fragmented dissolved geometry
74,144,144,1,145,19,19,0.468864,0.456655,12.399098,12.439391,0.038325,0.037085,40,41,low,true,fragmented dissolved geometry
75,79,79,0,79,18,18,0.289403,0.289403,7.288461,7.288461,0.068461,0.068461,16,18,low,true,fragmented dissolved geometry
76,255,255,0,255,33,33,1.776372,1.776372,21.021929,21.021929,0.050512,0.050512,58,60,low,true,fragmented dissolved geometry
77,146,146,0,146,21,21,5.143532,5.143124,32.689845,32.687081,0.060485,0.06049,16,17,low,true,fragmented dissolved geometry
