video_id,title,youtube_url,edition_year,event_date,duration,description,playlist,speakers_raw,moderator_raw,topics_raw,source_status,transcript_status,analysis_status,last_checked,known_limits,notes
rWPubb4L2A8,Trame 15 - Ragazzi d'altri tempi / Trame Visioni,https://www.youtube.com/watch?v=rWPubb4L2A8&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Ragazzi d’altri tempi; con Alessia Arcolaci (42 Parallelo);; a seguire;; Trame Visioni; Docuserie Rai I ragazzi delle scorte Episodio Rocco e Giuseppe Ragazzi d’altri tempi , produzione 42; PARALLELO;",,Ragazzi d’altri tempi,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 13:30; matched_event=trame15_20260617_ragazzi-daltri-tempi; possible_scheduled_placeholder"
pWzpecxR2Fo,Trame 15 - Storie di donne e uomini che resistono,https://www.youtube.com/watch?v=pWzpecxR2Fo&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-18,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Storie di donne e uomini che resistono;,,Storie di donne e uomini che resistono,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 13:00; matched_event=trame15_20260618_storie-di-donne-e-uomini-che-resistono; possible_scheduled_placeholder"
JwkmnmZbaQo,Trame 15 - Il lato oscuro della Germania,https://www.youtube.com/watch?v=JwkmnmZbaQo&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Il lato oscuro della Germania; con Ruggero Scaturro (GI-TOC), Anna Sergi (Università di Bologna), Judith Eisinger (mafianeindanke) e Michael Braun (TAZ);;",,Il lato oscuro della Germania,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 12:30; matched_event=trame15_20260617_il-lato-oscuro-della-germania; possible_scheduled_placeholder"
pf-D88n7Z1E,Trame 15 - La mafia albanese alla conquista del mondo,https://www.youtube.com/watch?v=pf-D88n7Z1E&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"La mafia albanese alla conquista del mondo; con Nello Trocchia , Luca Tescaroli (Procuratore di Prato) e Giovanni Tizian;",,La mafia albanese alla conquista del mondo,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 11:30; matched_event=trame15_20260617_la-mafia-albanese-alla-conquista-del-mondo; possible_scheduled_placeholder"
-s1WJwtAt9o,Trame 15 - Abitiamo il lametino,https://www.youtube.com/watch?v=-s1WJwtAt9o&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Abitiamo il lametino; con Marina Galati (Comunità Progetto Sud), Nuccio Iovene (Fondazione Trame), Giuseppina Imbrogno (Università della Calabria), Damiano Berlingieri (Mediatore culturale Intrecci Abitiamo il Lametino ATS), Maria Consuelo Hafiz (Università Magna Graecia di Catanzaro) e Nello Trocchia (Domani); Incontro pubblico sull'abitare diffuso e l'inclusione sociale: nuove prospettive per i cittadini lametini di origine rom residente a Scordovillo.; Proiezione del primo video-racconto realizzato dal regista Mario Vitale .;;",,Abitiamo il lametino,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 11:00; matched_event=trame15_20260617_abitiamo-il-lametino; possible_scheduled_placeholder"
47aCmQpiSzU,Trame 15 - Spina. Napoli 1996-2016,https://www.youtube.com/watch?v=47aCmQpiSzU&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Spina. Napoli 1996 - 2016; Con Mario Spada e Tiziana Faraoni (photo editor de L'Espresso);,,Spina. Napoli 1996 - 2016,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 10:30; matched_event=trame15_20260617_spina-napoli-1996-2016; possible_scheduled_placeholder"
6ilhH19j2wY,Trame 15 - La ragazza che si ribellò alla mafia,https://www.youtube.com/watch?v=6ilhH19j2wY&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),La ragazza che si ribellò alla mafia; con Daniele Aristarco e Elisa Chiriano (radio Ciak),,La ragazza che si ribellò alla mafia,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 10:00; matched_event=trame15_20260617_la-ragazza-che-si-ribello-alla-mafia; possible_scheduled_placeholder"
iy-AUJN12as,Trame 15 - C'era l'amore a Sarajevo,https://www.youtube.com/watch?v=iy-AUJN12as&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),C’era l’amore a Sarajevo; con Gigi Riva e Giuseppe Smorto (Repubblica);,,C’era l’amore a Sarajevo,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 10:00; matched_event=trame15_20260617_cera-lamore-a-sarajevo; possible_scheduled_placeholder"
L1PWzcowVDM,Trame 15 - Le mafie della tensione,https://www.youtube.com/watch?v=L1PWzcowVDM&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Le mafie della tensione; con Enzo Ciconte e Gianfranco Manfredi (giornalista);,,Le mafie della tensione,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 09:30; matched_event=trame15_20260617_le-mafie-della-tensione; possible_scheduled_placeholder"
8ym9aaN7BCE,Trame 15 - Eretici e disobbedienti,https://www.youtube.com/watch?v=8ym9aaN7BCE&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Eretici e disobbedienti; con Toni Mira, Mons. Serafino Parisi (Vescovo di Lamezia Terme) e Maria Scaramuzzino (Gazzetta del sud);",,Eretici e disobbedienti,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 09:30; matched_event=trame15_20260617_eretici-e-disobbedienti; possible_scheduled_placeholder"
MOPs2yb06LU,Trame 15 - Le mafie non giocano,https://www.youtube.com/watch?v=MOPs2yb06LU&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Le mafie non giocano; con Toni Mira e Andrea Giambartolomei (Lavialibera);,,Le mafie non giocano,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 09:00; matched_event=trame15_20260617_le-mafie-non-giocano; possible_scheduled_placeholder"
kaPx-VmQriw,Trame 15 - Etica aziendale: presidio di legalità e territorio libero dalle mafie,https://www.youtube.com/watch?v=kaPx-VmQriw&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Etica aziendale: presidio di legalità e territorio libero dalle mafie; con Pietro Falbo (Camera di Commercio CZ-KR-VV), Patrizia Di Dio (Confcommercio Imprese per l’Italia), Giuseppe Cotroneo (Confcommercio Lamezia Terme), Vincenzo Linarello (GOEL Gruppo Cooperativo, autore di ""manuale dell'etica efficace""), Daniele Gualtieri (CISL Magna Graecia) e Giuseppe Smorto (Repubblica);",,Etica aziendale: presidio di legalità e territorio libero dalle mafie,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 08:00; matched_event=trame15_20260617_etica-aziendale-presidio-di-legalita-e-territorio-libero-dalle-mafie; possible_scheduled_placeholder"
MFn_4gLZr14,Trame 15 - Ecomafie e verità sommerse,https://www.youtube.com/watch?v=MFn_4gLZr14&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Ecomafie e verità sommerse; con Stefano Ciafani (Legambiente) e Tommaso Panza (giornalista);;,,Ecomafie e verità sommerse,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 07:00; matched_event=trame15_20260617_ecomafie-e-verita-sommerse; possible_scheduled_placeholder"
epXGDJLovlQ,Trame 15 - Leoni di Sicilia,https://www.youtube.com/watch?v=epXGDJLovlQ&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Leoni di Sicilia; con Stefania Auci e Gaetano Savatteri (giornalista);,,Leoni di Sicilia,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 55 visualizzazioni | Trasmesso in streaming 2 giorni fa; matched_event=trame15_20260616_leoni-di-sicilia
q4gGF8rXO7E,Trame 15 - In memoria di Giovanna Casadio,https://www.youtube.com/watch?v=q4gGF8rXO7E&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),In memoria di Giovanna Casadio; Volontarə di redazione incontrano Ippolita Luzzo (Il Regno della Litweb) ; ;;,,In memoria di Giovanna Casadio,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.","tramefestival || Programmato per il giorno 17/06/26, 06:00; matched_event=trame15_20260617_in-memoria-di-giovanna-casadio; possible_scheduled_placeholder"
a-m_C9Z888E,Trame 15 - Fate i tuoni,https://www.youtube.com/watch?v=a-m_C9Z888E&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Fate i tuoni; uno spettacolo di Michele D’Ignazio; con Antonia Fama e Marco Zordan; regia di Marco Zordan; a cura di Compagnia Walden;,,Fate i tuoni,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 31 visualizzazioni | Trasmesso in streaming 3 giorni fa; matched_event=trame15_20260616_fate-i-tuoni
bfiUkrhdBbs,Famiglie che accolgono,https://www.youtube.com/watch?v=bfiUkrhdBbs&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Famiglie che accolgono; con Antonella Agnoli , i testimoni di Luna Rossa (SAI Minori Comunità Progetto Sud) e Maria Chiara Caruso (giornalista); Un saluto video del Cardinale Matteo Maria Zuppi;",,Famiglie che accolgono,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 37 visualizzazioni | Trasmesso in streaming 3 giorni fa; matched_event=trame15_20260616_famiglie-che-accolgono
qH1OCoKWh4g,Inaugurazione Festival Trame 15,https://www.youtube.com/watch?v=qH1OCoKWh4g&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Inaugurazione Festival; Saluti istituzionali; Parteciperà il presidente della Regione Calabria Roberto Occhiuto ; ;;,,Inaugurazione Festival,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 42 visualizzazioni | Trasmesso in streaming 3 giorni fa; matched_event=trame15_20260616_inaugurazione-festival
LuTMa5F9FJ0,Trame Podcast - Nuccio Iovene e Francesco Cefalà,https://www.youtube.com/watch?v=LuTMa5F9FJ0&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,Trame Podcast - Nuccio Iovene e Francesco Cefalà,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 36 visualizzazioni | 2 giorni fa; matched_event=none
aVmFKUtu7JQ,Trame 15 - DAY 1 | 16/06/2026,https://www.youtube.com/watch?v=aVmFKUtu7JQ&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-16,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,DAY 1 | 16/06/2026,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 39 visualizzazioni | 2 giorni fa; matched_event=none
xgbOzOBjAcM,"""Terra e Libertà"": Trame 15 dal 16 al 21 giugno 2026 a Lamezia Terme",https://www.youtube.com/watch?v=xgbOzOBjAcM&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,"""Terra e Libertà"": Trame 15 dal 16 al 21 giugno 2026 a Lamezia Terme",official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 74 visualizzazioni | 3 mesi fa; matched_event=none
